claimHeadline,articleHeadline,articleHeadlineStance,url,source,claimId,articleId,sourceId,sourceReputation,sourceBias
FACT Nothing in Obamacare forces people out of their health plans,Obama’s pledge that ‘no one will take away’ your health plan,against,https://www.washingtonpost.com/news/fact-checker/wp/2013/10/30/obamas-pledge-that-no-one-will-take-away-your-health-plan/,https://www.washingtonpost.com/,3,11,1,0.3696875,1
FACT Nothing in Obamacare forces people out of their health plans,FACT CHECK: Biden Claims Not One Person Lost Their Insurance Provider Under Obamacare,against,https://trendingpolitics.com/fact-check-biden-claims-not-one-person-lost-their-insurance-provider-under-obamacare/ ,https://trendingpolitics.com/,3,12,1,0,2
FACT Nothing in Obamacare forces people out of their health plans,"Valerie Jarrett: Obamacare Doesn’t Force You Off Your Plan; Your Insurance Company Does, By Complying With Obamacare!",against,https://hotair.com/archives/marykatharine/2013/10/28/valerie-jarrett-obamacare-doesnt-force-you-off-your-plan-your-insurance-company-does-by-complying-with-obamacare/,https://hotair.com/,3,13,1,0,3
FACT Nothing in Obamacare forces people out of their health plans,Jarrett: ‘Nothing In Obamacare Forces People Out Of Their Health Plans’,against,https://washington.cbslocal.com/2013/10/29/jarrett-nothing-in-obamacare-forces-people-out-of-their-health-plans/,https://washington.cbslocal.com/,3,14,1,0.62,1
FACT Nothing in Obamacare forces people out of their health plans,Millions Will Lose Current Policy Under ObamaCare,against,https://www.newser.com/story/176653/under-obamacare-millions-must-change-policies.html,https://www.newser.com/,3,15,1,0,2
Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,Hitler abolished unions 78 years ago-Walker did the same in Wisconsin yesterday,for,https://madmikesamerica.com/2011/03/hitler-abolished-unions-78-years-ago-walker-did-the-same-in-wisconsin-yesterday/,https://madmikesamerica.com/,4,16,1,0,2
Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,Governor Scott Walker vs. Unions,neutral,https://www.huffpost.com/entry/governor-scott-walker-vs-_b_6787598,https://www.huffpost.com/,4,17,1,0.2090625,0
Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,"For Wisconsin Governor, Battle Was Long Coming
",neutral,https://www.nytimes.com/2011/02/20/us/politics/20walker.html ,https://www.nytimes.com/ ,4,18,1,0.4646875,1
Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,IT'S RIDICULOUS TO COMPARE WIS. GOVERNOR TO HITLER,against,https://www.tampabay.com/archive/2011/02/23/it-s-ridiculous-to-compare-wis-governor-to-hitler/,https://www.tampabay.com/,4,19,1,0.495,2
Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,The real threat to democracy in Wisconsin,against,https://theweek.com/articles/487008/real-threat-democracy-wisconsin,https://theweek.com/,4,20,1,-0.0325,2
Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court,PolitiFact: Abbott dutifully defended school finance system and legislated cuts,for,https://www.statesman.com/article/20131221/NEWS/312219747,https://www.statesman.com/,5,21,1,0,1
Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court,Media Highlights Greg Abbott Lie on School Funding Cuts,against,https://progresstexas.org/blog/media-highlights-greg-abbott-lie-school-funding-cuts,https://progresstexas.org/,5,22,1,0,2
Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court,Another education-cutter trying to sneak back into office,for,https://tsta.org/grading-texas/category/school-budget-cuts/page/5,https://tsta.org/,5,23,1,0,2
Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court,Governor Hopefuls Primed for Fight Over Education Issues,for,https://www.texastribune.org/2013/12/11/texas-governor-hopefuls-primed-fight-over-educatio/,https://www.texastribune.org/,5,24,1,0,1
Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court,"Running For Governor, Greg Abbott Talks Education, But Policy Details Scarce",for,https://www.keranews.org/education/2013-12-03/running-for-governor-greg-abbott-talks-education-but-policy-details-scarce,https://www.keranews.org/,5,25,1,0,2
Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase,"Facts and Consequences: Legality, Incidence and Safety of Abortion Worldwide",neutral,https://www.guttmacher.org/gpr/2009/11/facts-and-consequences-legality-incidence-and-safety-abortion-worldwide,https://www.guttmacher.org/,6,26,1,0,2
Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase,States pushing abortion bans have higher infant mortality rates,for,https://www.nbcnews.com/health/womens-health/states-pushing-abortion-bans-have-higher-infant-mortality-rates-n1008481,https://www.nbcnews.com/,6,27,1,0.475625,1
Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase,Abortion rates don't drop when the procedure is outlawed. But it does make it more dangerous.,neutral,https://www.nbcnews.com/think/opinion/abortion-rates-don-t-drop-when-procedure-outlawed-it-does-ncna1235174,https://www.nbcnews.com/,6,28,1,0.475625,1
Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase,What Will Happen to Women’s Health If Abortion Is Banned?,neutral,https://www.bu.edu/sph/news/articles/2019/what-will-happen-to-womens-health-if-abortion-is-banned/,https://www.bu.edu/sph/news,6,29,1,0,2
Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase,Abortion Bans Create a Public Health Nightmare,neutral,https://www.wired.com/story/abortion-bans-create-a-public-health-nightmare/,https://www.wired.com/,6,30,1,0,2
Collectively states are spending more on Medicaid than they do on K12 education,Eric Cantor's Bold New Vision for America: No Medical Device Tax,for,https://newrepublic.com/article/112335/eric-cantors-american-enterprise-institute-speech-was-hardly-bold,https://newrepublic.com/,7,31,1,0.1115625,0
Collectively states are spending more on Medicaid than they do on K12 education,Politifact Virginia: States spending on Medicaid vs. K-12 education,for,https://www.nbc12.com/story/21311321/politifact-virginia-states-spending-on-medicaid-vs-k-12-education/,https://www.nbc12.com/,7,32,1,0.4759375,1
Collectively states are spending more on Medicaid than they do on K12 education,Eric Cantor Puts Old Whine In New Bottles,neutral,https://www.esquire.com/news-politics/politics/a18979/eric-cantor-puts-old-whine-in-new-bottles/,https://www.esquire.com/,7,33,1,0,0
Collectively states are spending more on Medicaid than they do on K12 education,Full text: Eric Cantor’s ‘Make Life Work’ speech,neutral,https://www.washingtonpost.com/news/wonk/wp/2013/02/05/full-text-eric-cantors-make-life-work-speech/,https://www.washingtonpost.com/,7,34,1,0.3696875,1
Collectively states are spending more on Medicaid than they do on K12 education,States Collectively Spend 17 Percent of Their Revenue on Medicaid,neutral,https://www.pewtrusts.org/en/research-and-analysis/articles/2020/01/09/states-collectively-spend-17-percent-of-their-revenue-on-medicaid,https://www.pewtrusts.org/,7,35,1,0,2
More Americans receive food aid than work in the private sector,PolitiFact: Allen West says more Americans receive food aid than work in the private sector,against,https://www.tampabay.com/news/politics/national/politifact-allen-west-says-more-americans-receive-food-aid-than-work-in/2131402/,https://www.tampabay.com/,8,36,1,0.495,2
More Americans receive food aid than work in the private sector,More Americans Receive Food Aid Than Work in the Private Sector,for,https://blog.acton.org/archives/57077-more-americans-receive-food-aid-than-work-in-the-private-sector.html ,https://acton.org,8,37,1,0,2
More Americans receive food aid than work in the private sector,101M Get Food Aid from Federal Gov’t; Outnumber Full-Time Private Sector Workers,for,https://www.cnsnews.com/news/article/101m-get-food-aid-federal-gov-t-outnumber-full-time-private-sector-workers,https://www.cnsnews.com/,8,38,1,-0.04,4
More Americans receive food aid than work in the private sector,Millions More Americans Receive Food Welfare Than Work In The Private Sector,for,https://dailystormer.su/millions-more-americans-receive-food-welfare-than-work-in-the-private-sector/,https://dailystormer.su/,8,39,1,0,2
Obamacare is the largest middleclass tax increase in history,Is ObamaCare The Largest Tax Increase In U.S. History?,for,https://www.forbes.com/sites/merrillmatthews/2012/06/29/is-obamacare-the-largest-tax-increase-in-u-s-history/?sh=172f701257e6,https://www.forbes.com/,9,40,1,0.3628125,2
Obamacare is the largest middleclass tax increase in history,Rep. Landry: Supreme Court makes Obamacare ‘largest tax increase in history’,neutral,https://www.washingtonexaminer.com/rep-landry-supreme-court-makes-obamacare-largest-tax-increase-in-history ,https://www.washingtonexaminer.com/,9,41,1,-0.2125,3
Obamacare is the largest middleclass tax increase in history,Republicans Falsely Claim Obamacare Is The ‘Largest Tax Increase In History’,against,https://archive.thinkprogress.org/republicans-falsely-claim-obamacare-is-the-largest-tax-increase-in-history-e90f1eaabe7a/,https://thinkprogress.org,9,42,1,0.1559375,0
Obamacare is the largest middleclass tax increase in history,"Yes, Actually, Obamacare Is the Biggest Tax Increase in History",for,https://reason.com/2012/07/09/yes-actually-obamacare-is-the-biggest-ta/,https://reason.com/,9,43,1,0.176875,3
Obamacare is the largest middleclass tax increase in history,Why Obamacare's Tax Increase Isn't the Biggest Ever,against,https://www.bloomberg.com/news/articles/2012-07-03/why-obamacares-tax-increase-isnt-the-biggest-ever,https://www.bloomberg.com/,9,44,1,0.475,1
Obamacare is the largest middleclass tax increase in history,It’s a Penalty. It’s a Tax. It’s Both.,against,https://newrepublic.com/article/104644/its-penalty-its-tax-its-both#.T_XHPASwn4E.facebook,https://newrepublic.com/,9,45,1,0.1115625,0
Florida ranks first in the nation for access to free prekindergarten,Report Says Flodirda Spends Less on Preschool Than Almost Any State in America,against,https://www.browardpalmbeach.com/news/report-says-florida-spends-less-on-preschool-than-almost-any-state-in-america-7778417,https://www.browardpalmbeach.com/,10,46,1,0,2
Florida ranks first in the nation for access to free prekindergarten,The GOP's new take on pre-K,for,https://www.politico.com/story/2014/08/22/republicans-pre-kindergarten-1346456,https://www.politico.com/,10,47,1,0.4525,1
Florida ranks first in the nation for access to free prekindergarten,Scott's Mostly True claim about VPK access,for,https://miamiherald.typepad.com/nakedpolitics/2014/03/scotts-mostly-true-claim-about-vpk-access.html,https://miamiherald.com/,10,48,1,0,1
Florida ranks first in the nation for access to free prekindergarten,PolitiFact Florida: The facts about Rick Scott's education ad,against,https://www.tampabay.com/news/politics/PolitiFact-Florida-The-facts-about-Rick-Scott-s-education-ad_172176887/,https://tampabay.com/,10,49,1,0,1
Florida ranks first in the nation for access to free prekindergarten,"Florida's pre-K program scores low marks for quality, funding in new national study",against,https://www.orlandosentinel.com/news/education/os-ne-prek-florida-low-ranking-20190417-story.html,https://orlandosentinel.com/,10,50,1,0,2
The number of new businesses started per year has dropped by 100000 during the Obama term,Mitt Romney’s hyped-up business start-up statistic,against,https://www.washingtonpost.com/blogs/fact-checker/post/mitt-romneys-hyped-up-business-start-up-statistic/2012/04/20/gIQAF77bWT_blog.html,https://washingtonpost.com/,11,51,1,0.39375,1
The number of new businesses started per year has dropped by 100000 during the Obama term,"Chronicling Mitt's Mendacity, Vol. XIV",against,https://www.msnbc.com/rachel-maddow-show/chronicling-mitts-mendacity-vol-xiv-msna32102 ,https://msnbc.com/,11,52,1,0.3546875,0
The number of new businesses started per year has dropped by 100000 during the Obama term,OPINION: HOW OBAMA HAS FAILED SMALL AND MINORITY BUSINESS,for,https://www.blackenterprise.com/obama-failed-small-business-minority-business-owners/,https://blackenterprise.com/,11,53,1,0,1
The number of new businesses started per year has dropped by 100000 during the Obama term,WRAPUP 2-Romney seeks big wins Tuesday to elbow out Santorum,neutral,https://www.chicagotribune.com/news/ct-xpm-2012-04-03-sns-rt-usa-campaign-wrapup-2l2e8f2i2b-20120403-story.html,https://chicagotribune.com/,11,54,1,0.4696875,2
The number of new businesses started per year has dropped by 100000 during the Obama term,Fact checking the second presidential debate,neutral,https://www.washingtonpost.com/blogs/fact-checker/post/fact-checking-the-second-presidential-debate/2012/10/17/d6d3a7b4-17a3-11e2-a55c-39408fbe6a4b_blog.html,https://washingtonpost.com/,11,55,1,0.39375,1
"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",Crist dings W.H. on space summit,neutral,https://www.politico.com/story/2010/03/crist-dings-wh-on-space-summit-034068,https://politico.com/,12,56,1,0.468125,1
"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",Obama's plans for NASA changes met with harsh criticism,neutral,https://www.washingtonpost.com/wp-dyn/content/article/2010/03/09/AR2010030902594.html,https://washingtonpost.com/,12,57,1,0.39375,1
"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",U.S. space surrender,for,https://www.orlandosentinel.com/opinion/os-xpm-2010-01-30-os-ed-obama-nasa-budget-013010-20100129-story.html,https://www.orlandosentinel.com/,12,58,1,0.505625,2
"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",Obama administration seeking more cash for 'Clunkers' program,neutral,https://www.nydailynews.com/news/politics/obama-administration-seeking-cash-clunkers-program-article-1.394037,https://www.nydailynews.com/,12,59,1,0.404375,0
"The Obama administration ""spent more money on the Cash for Clunkers program than the space program.""",A Clunker of a Program,for,https://www.usnews.com/opinion/economic-intelligence/2014/08/14/obamas-cash-for-clunkers-stimulus-bailout-failed-car-companies,https://usnews.com,12,60,1,0.453125,1
